날짜,오늘걸음수,월누적
08/01,2118,2118
08/02,0,2118
08/04,4947,7065
08/05,0,7065
08/06,13208,20273
08/07,9457,29730
08/08,0,29730
08/09,11339,41069
08/10,0,41069
08/11,11700,52769
08/12,0,52769
08/13,11047,63816
08/14,0,63816
08/15,16769,80585
08/16,0,80585
08/17,0,80585
08/18,0,80585
08/19,9991,90576
08/20,0,90576
08/21,12302,102878
08/22,0,102878
08/23,0,102878
08/24,3255,106133
08/25,0,106133
08/26,9493,115626
08/28,12384,128010
08/29,0,128010
08/30,0,128010
08/31,12206,140216
